"Wavelength","rsr","stdev"
446,0.00733809127,0.000656094868
447,0.0132064968,0.00117162231
448,0.0273808651,0.00248635933
449,0.061400488,0.00639835605
450,0.128100455,0.0144703975
451,0.284260541,0.0321638472
452,0.526226342,0.0520651489
453,0.754618227,0.0472389199
454,0.85015893,0.0201700423
455,0.870507479,0.00513806939
456,0.873015285,0.00899431203
457,0.873860121,0.00959010236
458,0.874113142,0.00835919101
459,0.875359893,0.0046412372
460,0.879366219,0.006487309
461,0.881821811,0.0157497656
462,0.881103754,0.0216289181
463,0.882394493,0.0218973756
464,0.888079941,0.0163606573
465,0.893659711,0.00854373816
466,0.89804703,0.0036656328
467,0.900572658,0.00724548707
468,0.891317844,0.00950572919
469,0.866573513,0.0142049566
470,0.835843503,0.0172834527
471,0.815517545,0.0128595093
472,0.817728102,0.00523312995
473,0.833616316,0.012551317
474,0.85324347,0.0127990311
475,0.867512643,0.00548118725
476,0.879684687,0.00783504359
477,0.886409104,0.0140694138
478,0.892453074,0.0170214772
479,0.902070165,0.0143573126
480,0.916846812,0.00851875264
481,0.930187106,0.00601584697
482,0.93724215,0.00641676784
483,0.940089643,0.00814098492
484,0.942667246,0.00904783141
485,0.942598581,0.0127274413
486,0.942124546,0.016426811
487,0.943108261,0.0171780586
488,0.945148647,0.0168949254
489,0.946992874,0.0174848363
490,0.947054684,0.0179313812
491,0.943696737,0.0154777961
492,0.927983105,0.0169617999
493,0.908267617,0.0280459039
494,0.896314085,0.0415457822
495,0.901171684,0.0473959856
496,0.927900434,0.0291456059
497,0.954338789,0.00466223201
498,0.959147394,0.00421083905
499,0.948072553,0.0162701271
500,0.951889992,0.0252263695
501,0.966185391,0.0195046049
502,0.989839494,0.00238525099
503,1,0.012777864
504,0.983226776,0.00560256001
505,0.952988148,0.0200789422
506,0.923568666,0.0467456356
507,0.919305563,0.0557181761
508,0.943495154,0.0388877317
509,0.956872582,0.0247492753
510,0.923229635,0.0210102368
511,0.799378276,0.0418167487
512,0.41356644,0.0787153766
513,0.11275553,0.0286517404
514,0.0327405483,0.00933428854
515,0.0129265282,0.00419044541
516,0.00582975941,0.00255415612
523,0.00613501482,0.000526482763
524,0.00918434467,0.00072791276
525,0.0133281145,0.00103188178
526,0.0200634636,0.00147256977
527,0.0312076677,0.00201378972
528,0.0495915599,0.00750289019
529,0.0839209035,0.00858275127
530,0.142274052,0.018745767
531,0.23764506,0.0178849325
532,0.382564992,0.0279938318
533,0.528055489,0.0249375682
534,0.725553274,0.0216130354
535,0.86100316,0.0188109279
536,0.910040259,0.0172116254
537,0.951415002,0.0107040461
538,0.960259259,0.00836613588
539,0.960947871,0.00607323274
540,0.957968891,0.00483625103
541,0.959614038,0.00449706754
542,0.961039424,0.00475597847
543,0.967823565,0.00677342247
544,0.967478096,0.00953850057
545,0.971039712,0.00927282497
546,0.975967646,0.00507821515
547,0.96995008,0.00606292114
548,0.965836465,0.011020368
549,0.962728083,0.0135022635
550,0.970353484,0.0117153227
551,0.976575375,0.00961760618
552,0.984785318,0.00788118504
553,0.9922418,0.00791125
554,0.997885764,0.00588649465
555,0.997550666,0.00396924559
556,0.995136619,0.00585150113
557,0.992904305,0.00807942543
558,0.992210686,0.00794198178
559,0.991475642,0.00688981311
560,0.990395665,0.00668934779
561,0.987448871,0.00504558347
562,0.985132039,0.00928257033
563,0.984826446,0.0116709955
