"Wavelength","rsr","stdev","band"
479,0.902070165,0.0143573126,"Blue"
480,0.916846812,0.00851875264,"Blue"
481,0.930187106,0.00601584697,"Blue"
482,0.93724215,0.00641676784,"Blue"
483,0.940089643,0.00814098492,"Blue"
484,0.942667246,0.00904783141,"Blue"
485,0.942598581,0.0127274413,"Blue"
486,0.942124546,0.016426811,"Blue"
487,0.943108261,0.0171780586,"Blue"
488,0.945148647,0.0168949254,"Blue"
489,0.946992874,0.0174848363,"Blue"
490,0.947054684,0.0179313812,"Blue"
491,0.943696737,0.0154777961,"Blue"
492,0.927983105,0.0169617999,"Blue"
493,0.908267617,0.0280459039,"Blue"
494,0.896314085,0.0415457822,"Blue"
495,0.901171684,0.0473959856,"Blue"
496,0.927900434,0.0291456059,"Blue"
497,0.954338789,0.00466223201,"Blue"
498,0.959147394,0.00421083905,"Blue"
499,0.948072553,0.0162701271,"Blue"
500,0.951889992,0.0252263695,"Blue"
501,0.966185391,0.0195046049,"Blue"
502,0.989839494,0.00238525099,"Blue"
503,1,0.012777864,"Blue"
504,0.983226776,0.00560256001,"Blue"
505,0.952988148,0.0200789422,"Blue"
506,0.923568666,0.0467456356,"Blue"
507,0.919305563,0.0557181761,"Blue"
508,0.943495154,0.0388877317,"Blue"
509,0.956872582,0.0247492753,"Blue"
510,0.923229635,0.0210102368,"Blue"
511,0.799378276,0.0418167487,"Blue"
512,0.41356644,0.0787153766,"Blue"
513,0.11275553,0.0286517404,"Blue"
514,0.0327405483,0.00933428854,"Blue"
515,0.0129265282,0.00419044541,"Blue"
516,0.00582975941,0.00255415612,"Blue"
517,0.00378357433,0.00146559253,"Blue"
518,0.00263000699,0.00113156647,"Blue"
519,0.00204936112,0.000961768324,"Blue"
520,0.00160220102,0.000805986288,"Blue"
521,0.00113626441,0.000599915802,"Blue"
522,0.000725383521,0.000393993949,"Blue"
523,0.000453265122,0.000250143086,"Blue"
524,0.000303572451,0.000168973929,"Blue"
525,0.000227866622,0.000127422885,"Blue"
526,0.000193085551,0.000108213826,"Blue"
527,0.00018523699,0.000104078339,"Blue"
528,0.000195981062,0.000110448884,"Blue"
529,0.000215024513,0.000121845347,"Blue"
530,0.000229818601,0.000131111505,"Blue"
531,0.000226302334,0.000129368957,"Blue"
532,0.000209925929,0.000119420569,"Blue"
533,0.000197623347,0.000110964371,"Blue"
534,0.000189792961,0.00010427033,"Blue"
535,0.000170094339,9.08287257e-05,"Blue"
536,0.000126464336,6.55539188e-05,"Blue"
537,8.22888178e-05,4.16548683e-05,"Blue"
538,5.54775288e-05,2.74758859e-05,"Blue"
539,4.23840975e-05,2.03778654e-05,"Blue"
540,3.87834516e-05,1.80592524e-05,"Blue"
541,3.96306423e-05,1.77767997e-05,"Blue"
542,3.93671617e-05,1.73383633e-05,"Blue"
543,3.42346502e-05,1.52179027e-05,"Blue"
544,2.57324791e-05,1.15115718e-05,"Blue"
545,1.92629886e-05,8.53165966e-06,"Blue"
546,1.6412303e-05,7.01709996e-06,"Blue"
547,1.70569037e-05,6.95284461e-06,"Blue"
548,2.11616934e-05,8.23302344e-06,"Blue"
549,2.65619146e-05,1.03748625e-05,"Blue"
550,2.7292177e-05,1.12887501e-05,"Blue"
551,2.13201292e-05,9.17687794e-06,"Blue"
552,1.52411621e-05,6.49764297e-06,"Blue"
553,1.2906773e-05,5.33773664e-06,"Blue"
554,1.44929963e-05,5.80449978e-06,"Blue"
555,2.09055233e-05,8.30220961e-06,"Blue"
556,3.1545118e-05,1.28894435e-05,"Blue"
557,3.60689846e-05,1.53263554e-05,"Blue"
558,2.62700232e-05,1.08669265e-05,"Blue"
559,1.68112183e-05,6.29096348e-06,"Blue"
560,1.35185837e-05,4.51851156e-06,"Blue"
561,1.46269722e-05,4.38642064e-06,"Blue"
562,2.01603416e-05,5.78652816e-06,"Blue"
563,2.94864258e-05,9.0970716e-06,"Blue"
564,3.650281e-05,1.25630895e-05,"Blue"
565,3.50761838e-05,1.23676391e-05,"Blue"
566,3.34066062e-05,1.04265582e-05,"Blue"
567,4.37394956e-05,1.04783239e-05,"Blue"
568,6.67088243e-05,1.34846978e-05,"Blue"
569,7.20080061e-05,1.84114124e-05,"Blue"
570,4.12653098e-05,1.30662011e-05,"Blue"
571,1.98978378e-05,6.32409319e-06,"Blue"
572,1.4594867e-05,4.20196011e-06,"Blue"
573,1.78053269e-05,4.84714974e-06,"Blue"
574,3.35584409e-05,8.97970767e-06,"Blue"
575,5.13007253e-05,1.37971019e-05,"Blue"
576,3.50214686e-05,9.29780708e-06,"Blue"
577,1.25288871e-05,2.4267697e-06,"Blue"
578,6.20588935e-06,7.76935508e-07,"Blue"
579,4.63627657e-06,3.17127785e-07,"Blue"
580,4.29994134e-06,2.26312451e-07,"Blue"
581,3.9330871e-06,3.57894379e-07,"Blue"
582,2.94978963e-06,4.03575598e-07,"Blue"
583,1.89123023e-06,2.83773915e-07,"Blue"
584,1.32428318e-06,1.64458584e-07,"Blue"
585,1.05479967e-06,5.34232498e-08,"Blue"
586,1.13867543e-06,5.82424136e-08,"Blue"
587,1.87465355e-06,3.9396312e-07,"Blue"
588,3.67859002e-06,5.01516865e-07,"Blue"
589,4.98556255e-06,1.27203805e-06,"Blue"
590,2.81093594e-06,1.14807176e-06,"Blue"
591,8.49285811e-07,2.92819237e-07,"Blue"
592,3.75150364e-07,8.60666916e-08,"Blue"
593,2.65135498e-07,3.76497589e-08,"Blue"
594,2.35928368e-07,1.50373136e-08,"Blue"
595,2.11450939e-07,1.09844303e-08,"Blue"
596,2.61683198e-07,1.43764183e-08,"Blue"
597,3.06334186e-07,1.11073737e-08,"Blue"
598,2.89878159e-07,1.01143032e-08,"Blue"
599,2.75319422e-07,4.41540351e-08,"Blue"
600,2.18355211e-07,3.55989549e-08,"Blue"
601,1.59568032e-07,8.64678906e-09,"Blue"
602,1.4584856e-07,1.90934326e-08,"Blue"
603,1.87741847e-07,1.58078119e-08,"Blue"
604,3.43738122e-07,6.92863509e-08,"Blue"
605,1.42663941e-06,6.67229699e-07,"Blue"
606,5.67037205e-06,2.15732939e-06,"Blue"
607,7.74684031e-06,1.32703383e-06,"Blue"
608,2.50832568e-06,9.32707962e-07,"Blue"
609,5.71213263e-07,1.79703818e-07,"Blue"
610,3.26270964e-07,1.53510324e-08,"Blue"
611,3.26483502e-07,2.17686811e-08,"Blue"
612,4.17218189e-07,3.45401858e-08,"Blue"
613,5.50928519e-07,4.89611907e-08,"Blue"
614,5.52651727e-07,7.94391042e-08,"Blue"
615,3.96017271e-07,6.69099265e-08,"Blue"
616,2.42946811e-07,1.98586552e-08,"Blue"
617,2.24548288e-07,9.68361746e-09,"Blue"
618,2.87609339e-07,5.07937905e-08,"Blue"
619,5.27738678e-07,1.14442749e-07,"Blue"
620,8.96360632e-07,4.62090846e-08,"Blue"
621,8.38248411e-07,1.4259399e-07,"Blue"
622,3.78923602e-07,1.32068052e-07,"Blue"
623,1.77172709e-07,4.22932089e-08,"Blue"
624,1.30643897e-07,9.41759204e-09,"Blue"
625,9.17461094e-08,6.39736619e-09,"Blue"
626,7.41884634e-08,1.43843204e-08,"Blue"
627,5.50576686e-08,1.14550627e-08,"Blue"
628,1.00507854e-07,4.58300313e-08,"Blue"
629,1.69218978e-07,4.06791898e-08,"Blue"
630,1.48286091e-07,4.62270755e-08,"Blue"
631,1.15458683e-07,2.96236955e-08,"Blue"
632,4.20752322e-08,3.32418075e-08,"Blue"
633,3.53148515e-08,2.71798122e-08,"Blue"
634,2.95018676e-08,2.07163779e-08,"Blue"
