"grain_size","Blue_2","Green_3","Red_4","NIR_5","SWIR1_6","SWIR2_7"
30,0.99391585937957,0.991915820162062,0.984329553003606,0.946794618083459,0.253930601012701,0.311437728434815
31,0.993666616399,0.991791126248102,0.984069365301202,0.945912161758001,0.248301608266418,0.305356105498642
32,0.993711234395684,0.991680495286928,0.983854388374545,0.945052843707529,0.242912543472674,0.299510266188612
33,0.993593405559148,0.991499685400174,0.98357849033257,0.944188017462737,0.237747594901012,0.293886940348852
34,0.993450448992773,0.991394726078779,0.983323541386014,0.943339282999387,0.232791934559175,0.28847382105112
35,0.993417423520932,0.991225313831642,0.983064007579531,0.942493412103175,0.228032038773666,0.283259206850399
36,0.993229452593406,0.991063102065489,0.982837627174667,0.941652597420106,0.223455813254741,0.278232283729331
37,0.993178399806794,0.990979166723814,0.982569539544075,0.940817445062445,0.219051978014785,0.27338303153479
38,0.993133449277017,0.990867402134948,0.982315208840019,0.939994765256322,0.214810290625588,0.268701991651351
39,0.992976821611318,0.990786259080163,0.982068859191224,0.939179840768339,0.210721402343398,0.264180309797639
40,0.992867180885917,0.990632787185067,0.981837011217887,0.938354440393109,0.206776424972754,0.259809712745971
41,0.992794804832213,0.990443678619734,0.981559135424784,0.937561509904118,0.202967774623006,0.255582440153842
42,0.992732369783464,0.990342138395301,0.981381051606864,0.936777513318685,0.199288064028869,0.251491314447698
43,0.992721242390213,0.990276457308382,0.981177330138223,0.935970265834254,0.195730356728056,0.247529076029779
44,0.992509574517643,0.990212393402594,0.980932825763982,0.935213668502294,0.192288582156548,0.243689648327077
45,0.992448896889454,0.990064341054038,0.980683817982159,0.934434431314233,0.188956997453241,0.239966954385872
46,0.992347399839713,0.990041033286885,0.980480780387246,0.93368388780557,0.185730261026255,0.236355308072481
47,0.992235551193591,0.989876394343747,0.980258863990888,0.932929141586746,0.182603360409449,0.232849318887401
48,0.992180468173082,0.989713231745214,0.980039974986371,0.932181797761397,0.179571613052536,0.229444265468636
49,0.992111596858741,0.989619966978545,0.979797277196936,0.931457763557652,0.176630816020173,0.226135158042934
50,0.992027098062794,0.989496562399512,0.979594577620122,0.930734221408902,0.173776771148653,0.222917854651848
51,0.992008829371006,0.98939557793913,0.97941795317775,0.929999084664889,0.17100594305457,0.219787943200336
52,0.991934881606711,0.989285362166292,0.97912260934198,0.929290938296787,0.168314508861303,0.216741926650912
53,0.991830814127531,0.989218467440647,0.978919054943217,0.928603638682506,0.165699179889755,0.213775904736504
54,0.991712684586494,0.989134854517317,0.978793741993999,0.927909792632685,0.163156832335306,0.21088650624494
55,0.991674569505838,0.989024797571051,0.97854162423916,0.927224962181433,0.160684427024566,0.208070724421239
56,0.991613957570527,0.988892177148043,0.978340392671617,0.926555758127269,0.158279210267529,0.205325273466924
57,0.99146472218753,0.988817096025977,0.978146955723501,0.925893599981439,0.155938506992446,0.202647349136974
58,0.991406229276305,0.988733857825916,0.977950013742004,0.925232539964676,0.153659750237376,0.200034462797253
59,0.991305011816348,0.988584996751057,0.977749484652146,0.924594052016525,0.15144063757842,0.197484019985639
60,0.991295649921848,0.988503862044418,0.97751669017141,0.923944631050603,0.149278623726351,0.194993563828134
61,0.991187422840097,0.988335548497744,0.977333697666553,0.923315562139589,0.147171914067317,0.192560992646322
62,0.991147640494169,0.988271538487012,0.977172831152604,0.922695202520436,0.14511826987285,0.190184090903101
63,0.991093708089984,0.988151584919439,0.976971283279542,0.922064327395117,0.14311561697406,0.187860848691748
64,0.990978016552343,0.98809037492162,0.976801757799518,0.921459112257314,0.141162247679577,0.185589595221811
65,0.99096991907064,0.988015467393119,0.976590097884507,0.920859739089502,0.139256336044475,0.18336833642483
66,0.990900715165697,0.987937183179488,0.976410493724668,0.920268494038069,0.137396317515006,0.181195398091637
67,0.990730319841871,0.987794985581788,0.976184315382722,0.919676012751999,0.135580296889455,0.179069240840021
68,0.990759861682083,0.987727311465384,0.976007770970422,0.919103555021138,0.133806971648482,0.176988293265375
69,0.990667255833713,0.987683406110071,0.975829949060083,0.918506266711619,0.132074778875652,0.174951214115625
70,0.990599438243289,0.987573808910083,0.97567117475359,0.9179393185141,0.130382333291815,0.172956479674035
71,0.990523960197878,0.98744663075746,0.975473395021673,0.917364548700457,0.128728321607553,0.171002840107524
72,0.990476253581096,0.987391930112747,0.975300384893076,0.916807721730448,0.127111414910963,0.169089058041573
73,0.990427908990902,0.987281251304735,0.975100908600912,0.916243946397913,0.125530407717673,0.167213932903866
74,0.990293860014027,0.987185094056312,0.974914165103705,0.91568552779261,0.123984186312711,0.165376248875349
75,0.990262757196626,0.9871122775352,0.974760066579697,0.91514981621731,0.122471502823152,0.163575084173217
76,0.990162876990664,0.987037464976489,0.97459284978356,0.914604797698945,0.12099141137537,0.161809130536476
77,0.990176450819971,0.986990392410153,0.974398084317041,0.914055945072368,0.119542780515549,0.160077595517491
78,0.990125637004006,0.986843354225604,0.974213892783504,0.913524071958865,0.118124648603487,0.158379426114727
79,0.990000795291028,0.986788689979229,0.974076398764305,0.912988364800951,0.116736114896677,0.156713644730539
80,0.9899627099216,0.986673506242003,0.97389794944305,0.912469149541789,0.115376394320434,0.155079507638267
81,0.989847730661596,0.986621350883115,0.973703428771089,0.911938231899084,0.114044291527462,0.153476007205011
82,0.989805463413728,0.986542726323098,0.973553035250016,0.911416950014171,0.112739194314794,0.151902395766929
83,0.989764869605457,0.986455207365931,0.973370348821723,0.910903287979145,0.111460337612154,0.150357779933221
84,0.989663114238593,0.986318711450149,0.973185017189006,0.910388663254584,0.110206829264251,0.148841557784692
85,0.989682104383488,0.986287137755114,0.97301881196724,0.909875370216076,0.108977967609829,0.147352912180834
86,0.989496673616908,0.986213040609156,0.972864782402394,0.909370817962793,0.107773165249834,0.14589097442361
87,0.989539336016096,0.986148028526532,0.972714951316732,0.9088626212791,0.106591595626327,0.144455248903321
88,0.989496127443627,0.98605621706762,0.972527062909267,0.908363977068865,0.105432556682537,0.143045082567698
89,0.989299205281213,0.985978602444268,0.972362035364434,0.90786580595428,0.104295585380126,0.141659590241581
90,0.989360054020452,0.985889646361028,0.972227431006636,0.907370866279093,0.103179974113864,0.140298410100525
91,0.989255407430982,0.985839728877785,0.972060459687209,0.906874088016111,0.102085152705991,0.138960760505341
92,0.989235246020861,0.985739898102091,0.971881819226526,0.906391694672934,0.101010547366211,0.137646104062572
93,0.98913558277493,0.985632806016283,0.971764949890667,0.905904471809826,0.0999556496656735,0.136353968856871
94,0.989063082775486,0.985574134451572,0.971612306813665,0.905415981878097,0.0989199533194111,0.135083702834784
95,0.989044298220948,0.985515309516437,0.971423169772819,0.904938632497764,0.0979028518126651,0.133834823542265
96,0.988970146113546,0.985456574338726,0.971263941816784,0.904463610684932,0.0969039521167416,0.132606686793454
97,0.98893888427524,0.985381259504846,0.971134075703823,0.903983029431201,0.0959227212425686,0.1313990157286
98,0.988864287200799,0.985316558258751,0.970976410933615,0.90350976683311,0.0949587724030632,0.130211151441003
99,0.98881892329322,0.985276612310346,0.97079349583153,0.903034973246894,0.0940116569294259,0.129042601938558
100,0.988787783377142,0.985196564041672,0.970676919987301,0.902574508489345,0.0930809106994568,0.127893083946197
101,0.988657603235387,0.985082708395963,0.970520439172485,0.902120830162432,0.0921661612802053,0.126761952205967
102,0.988607761519226,0.98502186225556,0.970337789414351,0.901653074440045,0.091266954679914,0.125649026184624
103,0.988569055423055,0.984938710851544,0.970169616855289,0.901195746528895,0.0903829668981631,0.124553586519357
104,0.98853153940766,0.984910225439501,0.97004449717897,0.90072872296035,0.0895138628181061,0.123475470970649
105,0.988471399589681,0.984849475922816,0.969881845871157,0.900286849634444,0.0886591969719368,0.122414167326494
106,0.988365022069564,0.984745857622963,0.96975481668446,0.899832829312125,0.0878186120125692,0.121369305796675
107,0.988306897385051,0.984669601055521,0.969590055852581,0.899385073285797,0.0869918533159825,0.12034059694735
108,0.988346076333611,0.984605113959166,0.969415697064211,0.898932819762797,0.086178591465042,0.119327499696842
109,0.988227879721595,0.984531120661745,0.969302925428288,0.898489724023425,0.0853785124680904,0.118329933387499
110,0.98824534159373,0.984510553922454,0.969158275002428,0.898044463578613,0.0845912140512996,0.117347285624163
111,0.988154080087239,0.984420599553009,0.968997194689796,0.897608185242519,0.0838164762001765,0.116379420527691
112,0.988090444417948,0.984340085572821,0.968861939732133,0.897167665438141,0.0830540279419613,0.115425894608704
113,0.988031461657441,0.984285457789373,0.968728838315048,0.896745740083759,0.0823036455803996,0.114486445077421
114,0.987981054358698,0.984196425127057,0.968595920673833,0.896306721963933,0.0815649005677732,0.11356081468721
115,0.987908043662309,0.98413839428852,0.968424358979043,0.895876845114422,0.0808376520748702,0.11264863524623
116,0.98791778685315,0.984081827893552,0.968279586229773,0.895443963934302,0.0801215951870902,0.111749637062018
117,0.987830493107002,0.983963294423117,0.968186325828732,0.895018843017996,0.0794164918261569,0.110863573621122
118,0.9877899995002,0.983919929227715,0.968049444460113,0.89459219649644,0.0787221660085986,0.109990105075122
119,0.987776359909356,0.983869289794295,0.967887495939463,0.894162785281512,0.0780382224162859,0.109129023307155
120,0.98764744948148,0.983778084501133,0.967778417116314,0.893743847254425,0.0773646538662784,0.108280064341952
121,0.987628723888218,0.983725686143185,0.96765748508961,0.893325387109694,0.0767011037648068,0.107442999214098
122,0.987575168052167,0.983647892085942,0.967517893082615,0.892905614987653,0.0760473873582313,0.106617547330567
123,0.987525127623936,0.983604258190108,0.967355006712207,0.892488328190183,0.075403268785541,0.105803513770703
124,0.987505373153618,0.983553248784026,0.967200506793197,0.892074425616817,0.0747685912906308,0.105000577081405
125,0.987432881848531,0.983473276316783,0.967112542042359,0.891667406209087,0.0741431832997532,0.104208566483564
126,0.987380201309174,0.983371317257902,0.966987707808466,0.89125679647413,0.073526760413375,0.103427336067257
