"grain_size","Blue_2","Green_3","Red_4","NIR_5","SWIR1_6","SWIR2_7"
30,0.993913975232075,0.991910945849692,0.984336965351323,0.94684156861141,0.25413053728901,0.31187132922359
31,0.993662811309658,0.99178532286369,0.984077006623008,0.945961000845801,0.24849974466409,0.305786309308597
32,0.993708126815134,0.991675364000206,0.983861563458358,0.945102623815736,0.243108913770345,0.29993699095506
33,0.99359228163651,0.991493864786069,0.983585637968736,0.944239132109221,0.237942228661144,0.294310139718627
34,0.99344646947921,0.99138731372331,0.983330931065386,0.943391142891408,0.232984857180136,0.288893481965903
35,0.993415387401254,0.991220107889685,0.983071612811421,0.94254601035346,0.228223266375801,0.283675339141502
36,0.993224289127323,0.991057492389701,0.982845755735153,0.941706126017694,0.22364535989658,0.278644917125516
37,0.993172936035692,0.990972437123649,0.982577708862827,0.940871407545014,0.219239853629048,0.273792214056891
38,0.993130404659357,0.990860978511731,0.982323346026827,0.940049099190246,0.214996502711807,0.269107778212533
39,0.992974767358552,0.990779029160869,0.982077301590876,0.939234621271391,0.210905957418063,0.264582765425754
40,0.992864197345966,0.990624966127141,0.981845105160234,0.938409288605992,0.206959328929624,0.260208905387468
41,0.99279199836705,0.990435971356032,0.981567762498108,0.937616514173808,0.203149032161927,0.255978438947138
42,0.992726617844611,0.990335254003957,0.981389575810315,0.93683264193518,0.199467684338622,0.251884194141198
43,0.992714946350227,0.99026962988059,0.981186185165552,0.936025547054785,0.195908346048419,0.247918904290772
44,0.992505969088733,0.990205568414172,0.98094185153805,0.935269140952313,0.192464949036369,0.24407649332819
45,0.992444333999797,0.990055996157507,0.980692872111655,0.934489667720472,0.189131749308393,0.240350885663965
46,0.992345703529175,0.990033492946463,0.980489331308176,0.933739473650183,0.185903407053088,0.236736388364731
47,0.992231886082576,0.989868417816499,0.980267984091847,0.932984639154386,0.182774913450974,0.23322760909657
48,0.992176959660197,0.989705671779983,0.980048847177881,0.93223742447446,0.179741584218483,0.229819825514525
49,0.992108859139248,0.989613083487486,0.979806447335764,0.931513808322117,0.176799218951009,0.226508036813199
50,0.992022993095609,0.98948957269936,0.979603975315969,0.930790275204574,0.173943620306946,0.223288102982846
51,0.992004289297279,0.989387426893675,0.979427420954461,0.93005521623466,0.171171254146849,0.220155608510136
52,0.991929559057732,0.989276707684623,0.979131948370635,0.929347347129708,0.168478296545853,0.217107051417275
53,0.991826015128283,0.989209543743331,0.978928214393554,0.92866043731987,0.165861460250034,0.21413852854331
54,0.991711501598371,0.989126400217143,0.978803025907161,0.927967106141784,0.163317623093233,0.211246666748693
55,0.99167105981218,0.989014922426386,0.97855095010225,0.927282531418703,0.160843745787125,0.208428452593962
56,0.991610849118532,0.98888274134911,0.97834956521662,0.926613783230413,0.158437073673683,0.205680603155602
57,0.991460038841784,0.98880912797702,0.978156318122047,0.925952156066401,0.156094934384804,0.203000306440271
58,0.99140273678241,0.988724791546661,0.977959451162894,0.925291777572064,0.153814759136957,0.200385075171198
59,0.99130240208956,0.988575274551744,0.977759096841887,0.92465396328863,0.151594246804656,0.197832312965018
60,0.991290320209855,0.988494587399629,0.977526220255361,0.924005157103466,0.149430851469303,0.195339557011225
61,0.991182120516756,0.988327293654931,0.977343412074207,0.923377018834062,0.147322776421099,0.19290470699592
62,0.99114408841548,0.988263099105551,0.977182885984278,0.922757754786383,0.145267786332543,0.190525545821848
63,0.991089060816663,0.988142939890238,0.976981004027063,0.922127476956312,0.143263805330327,0.188200062296696
64,0.990974573520117,0.988080456828294,0.976811746436724,0.921523342711156,0.14130912488017,0.185926585573211
65,0.990967888501592,0.988006901747014,0.976599617700073,0.920924926385048,0.139401920691621,0.183703117291488
66,0.990894347673267,0.987928510529775,0.976420291981533,0.920334805660513,0.137540626931582,0.181527986674818
